|Index|Comment|Positive
10|10|My favorite decaf coffee and it’s water processed, which is amazing. The first water processed where I don’t notice the coffee tasting “off”If you’ve tried other water processed decaf coffee and thought it tastes different I urge you to try this one. I purchased a few popular water processed decaf coffee’s and didn’t like the taste- I didn’t even realize this was water processed until reading the bag. Love that it’s healthier then the other decaf blends.|1
11|11|Peet's Major Dickason's coffee is hands down my favorite coffee. I used to love French Roast but find Major Dickason's to be a superior blend. It's got a deep, rich, robust flavor that's smooth, complex and satisfying. I also find it to be less acidic than your standard coffee.I use an Aeropress coffee maker (available via Amazon) using 3 Tbsp of freshly ground beans (roughly 15 grams) with 12 ozs of 205°F water for each mug of coffee.The price on Amazon is excellent for this whole bean coffee. I use Subscribe and Save to get this monthly staple and the beans are always taste freshly roasted.|1
12|12|I am not kidding.  I am a coffee nut (aficionado).  I love coffee and have been through the gambit of coffees and this is the best grind I have found short of the $40 a pound gourmet beans.I  have not seen this particular roast before, but it is dark and rich with oils soaking the beans.  When it grinds, the aroma is phenomenal for this grade of coffee.  I have now made regular coffee with it in a french press, espresso and even filled a refillable keurig filter with it, and every cup came out great.  The espresso has a wowza kick to it!!  I have had my espresso machine for a while, and I don't remember getting a kick like this from a cup of espresso in a very long time.The flavor of each is at the very high end of anything you could likely get for under $30 a pound.  It beats out Starbucks Sumatra easily.  It trumps many other brands I have tried, even the allegedly organic beans from Whole Foods.  What is amazing is the after taste.  It lingers, probably because of the oils in the coffee, and the flavor is fresh on the tongue even a few moments after you finish the cup.If you are a cream and sugar person, do not bother with this.  It is not for you.  You will never appreciate the difference.|1
13|13|I have tried literally dozens of coffees out there. I always thought i was a dark coffee person and had a hard time finding a good coffee to fit my palette. This coffee had a very nice rich, velvety and smooth flavor. No acidy bite at all. I cannot find it in any local stores in my area so amazon keep this coffee!!This is my daily coffee now. Great price too!! Try some for yourself!!! A++|1
14|14|Made my usual cold brew with my Toddy, and was recommended to try this by a friend. Typically I'll spend a few extra dollars for some of my favorite dark roast coffee beans, but wanted to see if I could save some money while still having a great cold brew. Unfortunately, I found this to be unusually bitter and strong with my regular 12 hour process. Perhaps this is best left as a hot brewed coffee, as there's just no body or discernible flavor notes to it.|0
15|15|"Over the last 40 plus years, I have made do with  some of the worst coffee imaginable in the military , had some good coffee, but have always been searching for a GREAT coffee.  I've tried everything I could lay my hands on, except for the coffee eaten and then ""recycled"" from the Civet cat. (who thought of that??) I found Starbucks coffee to always have a sort of burned taste, Gevalia to have no ""edge"" at all, etc, etc. Finally, I found Peet's Maj. Dickenson. Not bitter, but not bland. I've been drinking it for about 5 years now, and still stop to savor that first sip of the day. Great body, perfect flavor, what more can you say?"|1
16|16|This coffee has become my hands-down favorite coffee! I used to only drink dark roasts, then found my way to lighter roasts. I would say this is pretty similar to Starbucks Veranda, but totally better. I used to buy Starbucks Veranda, but have been drinking the Colombia Luminosa for a few months now and completely love it. It seems to have a brighter, more complex flavor. Peet's Big Bang is great too, but this is my favorite. I'm pretty disappointed that they are out of stock right now, so my recurring monthly order isn't being shipped. I'm drinking the Big Bang roast that I picked up at my local Kroger, but they were out of Colombia Luminosa too. Bring it back!|1
17|17|"Taking into account its decaf bar none it's the ""Best dang coffee I've ever had"". Peet's Coffee, Decaf French Roast, Dark Roast, Ground Coffee, 12 oz. Bag, Decaffeinated Coffee, Bold, Intense & Complex Dark Roast Blend of Latin American Coffees, with a Smoky Flavor & Bite Decided to get off the caffeine and woe was me. After the week long headache I tried and tried to find a good bold reasonably priced  DECAF coffee. FYI, you  won't find one in your local grocery store. I even went old school and started using a percolator on the stove top. After going through at least Seven (7) brands failing to make the grade I gave Peet's a try. This coffee is so good I cut out using sugar which is great as I inch closer and closer to diabetes as I age (runs in fam). Long story short, if you want a Great Decaf that won't break the bank this is it!!!"|1
18|18|Peet's decaf coffees are among the best I've had in decaf. The flavors are rich, complex and balanced, with no strange aftertastes like I get with some decaf coffees. I've tried the decaf versions of French Roast, Major Dickason's Blend and House Blend. French Roast is the darkest and most robust of the three, a truly traditional and satisfying French roast style. Major Dickason's is dark-to-medium with superb combination of of bright and deep aromas, and makes an excellent brew, even at varying strengths. House Blend is a medium roast, the lightest of the three, and makes a delightfully smooth cup. All three are highly recommended!|1
19|19|I've tried so many different brands of coffee. This coffee is one of the best ones I have tried. It is bold and very good tasting coffee. A bit strong too. I do not need as much grind as I used on other brands when making coffee. This is great!|1
20|20|Delivered 10/5/17.  Product 'best purchased by' 10/11/17.  Not the first time this has happened; be careful when purchasing.  Always check dates before opening.|0
21|21|I used to work at Peets in college. For me there is no better coffee out there. My espresso always comes out beautifully with a perfect crema. Any coffee from Peets will always be bold but not bitter. I don’t know how they perfectly roast it (I should considering they put me through my senior year of college) but it is magical. Major Dickenson or Mocha Java is my choice of brewing coffee, too.|1
22|22|"I thought among the more experienced connoisseur reviews, there might also be some people out there like me who would benefit from a less refined but still specific perspective. E.g. Only a few years into making your own grinds, not a particularly experienced palate, and with some health needs when it comes to purchasing coffee.I'm a weird duck. Everyone from doctors to researchers to popular coffee websites all seem to advocate that darker roasts are the way to go if you're an acid sufferer. But dark roasts have always, always made me sick. For days after drinking them - regardless of brand - I have horrible acid. For that reason, I've also come to personally dislike the intense smokiness that many darker roasts have. Lighter roasts, for whatever reason, contrary to the prevailing wisdom, don't affect me in the slightest. Maybe I have weird gut pH? Go figure lol. But I'm very pleased to say this coffee doesn't affect my stomach at all.I've been searching for a coffee, starting with medium roasts (and will soon work my way up towards very light roasts, and see how that goes) that is flavorful and aromatic in a way that isn't smoky or ""roasty,"" but that is palpable and which doesn't hurt my stomach. And so far, this blend is a pretty good match for what I'm looking for.It's very mellow. It's also, despite my lack of experience, what I would say I think of when I envision a ""true"" medium roast. None of the beans are over-roasted. So many ""medium"" roasts can smell and taste like dark roasts to me, sometimes being even darker and ""roastier"" than other roasts labeled as dark! Not so here. Very, very mild, unless you extract for longer than 4 minutes. (I use a french press.) And even then, up to 6 minutes (yes I know you're not supposed to extract longer than 4 - I'm just explaining how mild it is), it only becomes very moderately more ""roasty.""And darned if it doesn't faintly smell of blueberries as claimed, due to the Ethiopian Super Natural inclusion in this blend. It's not as present as a blend centered completely around that hint, but it's there, faintly but pleasingly. At 4 minutes extraction, with non-boiled but just beginning to steam water (yes I know I should be more precise thermally) it tastes like what most people would probably call ""normal coffee."" Mellow, mild, but with that great blueberry, earthy aroma. At 5 minutes it's definitely stronger and more flavorful, but still very mild. At 6 minutes, it's JUST beginning to taste ""roasty"" and a little more smoky, but still not very better imo.If you love really dark roasted tasting coffee, this is not the blend for you. But if you just want a nice, smooth, mellow coffee, that also has decent body and a pleasing aroma (especially at longer extractions,) you might really enjoy this. The aftertaste is very mildly citrus, and doesn't ""tingle"" as much as other blends I've tried. I'm going to try some others, as I said moving up the roast lightness scale, but if none of them sit well with me, I could easily drink this as my daily coffee. No real downsides, not the most flavorful ever but definitely has presence and smells wonderful - although the aroma is as gentle and mellow as the flavor. I guess this is what people call ""balanced"" in the coffee world. If it is, I like it.Oh, and it has a bit less caffeine kick than some others I've tried. Which is either a good thing or not depending on what you want lol. Keep that in mind. Hope this helps someone out there with needs similar to mine."|1
23|23|'Cook's Illustrated' rated this coffee the best of medium roast coffees.  I am a coffee lover, and I love medium roast coffee. I could not find this coffee at my local supermarket, but did find it at Amazon. This is an expensive coffee at Amazon, $37.50 for two 12 -ounce bags. The supermarket charges $13.95 for a 1-pound bag.I like dark French Roast coffee, and I wanted a break. I found this coffee to be extremely smooth and bold. It is rich and with a chocolate toast flavor. This is what coffee should taste like. The beans seemed fresh and when ground had a remarkable odor. Peets is a coffee of renown, and is well known in the Northwest. It's gaining a foothold in the Northeast. My daughter in Seattle purchases only Peets, and when there is a sale, I buy in bulk. The smooth full-bodied taste of Peet's is what this brand is known for.  The Cafe Domingo coffee is one of the best coffees we can buy.Highly Recommended. prisrob 03-20-13|1
24|24|Coffee beans are obviously old. No aroma, absolutely no flavor. I'm stuck with 3 more bags which are of no use to me.|0
25|25|I've heard good things about this brand but the order I tit was sevverely burnt beans. I tossed them Into the trash.|0
26|26|"I love this coffee! I go through about 4 bags a month (thank you amazon subscribe and save) and I enjoy it very much. It is good hot or iced. This is not a coffee with a bitter after taste and it has a very smooth and rich taste. I don't really taste any ""mocha"" in this, but it's still my go to coffee. I found it originally at a Whole Foods in CA and I was paying nearly $12 per bag, but luckily, I found it on here and can usually get it for around $5 a bag with subscribe and save. I gave some to my friend to try and she loved it as well. I would highly recommend this coffee to anyone that loves a decaf dark roast coffee."|1
27|27|Try it for Peet's sake! I discovered this blend while on vacation last year. I had heard of Peet's but never tried it. Fast forward a year, and now I have tried a couple other blends from Peet's. In my opinion, the House Blend is the best. It is better than the Major Dickason Blend, which is much easier to find in stores for some reason. The House Blend just has the right balance for my tastes.|1
28|28|I elected to kick caffeine a few months ago, but still enjoy coffee.  It's hard to find dark roast decaf, so I was very happy to see this at Amazon.  Tastes pretty good, usually doesn't keep me awake. Way better than any of the alternatives I've found in local grocery stores.  I keep waiting for the price to shoot up, but so far it's remained a pretty good deal.The bags normally arrive in a non-vacume state (bag is floppy rather than rigid), but the grounds taste fresh enough for me.  The grind is about right for my drip coffee maker.|1
29|29|While I like this coffee, this is the fourth time getting coffee that is out of date. I usually order 4 bags at a time. Also the huge fluctuation in price is really annoying and off putting. I have started looking into other coffee so I don't have to deal with inconsistent pricing and dates.|0
30|30|I've been enjoying the espresso roast whole beans for use in my French press. The stores I frequent don't carry it, so I'm glad to find it here. Like all Peet's I've tried, the coffee has a great, full flavor. The espresso roast is just a great dark roast, plain and simple. So far, I haven't had issues with freshness or quality. My coffee only turns out bad when I occasionally burn it with too-hot water, or other factors. I also have a sensitive stomach and this doesn't seem to be overly acidic. Pairs well with So Delicious non-dairy creamer. I use a Hario burr grinder and nothing else fancy, so I can't report on espresso machine uses or anything. It's just d-mn good coffee, the kind of thing agent Dale Cooper would like.UPDATE 4/12/18: I've been grinding the espresso beans and making fantastic cold brew. Thought about trying other coffees for funsies, but this is tried and true. (I use a hemp filter bag and 60 oz Takeya pitcher.) The flavor holds up with the beans frozen until grinding.|1
31|31|This coffee has changed--and not for the better. It's not the rich, smooth, delicious Major Dickason's I've been making for years. It's pretty flavorless and thin, even though I use the same coffee-water ratio as ever. The package itself is slightly but noticeably different from the traditional one, and there are no images of this new package on either Google or Peet's website. This tells me that this bland junk might not be the authentic Peet's offering. Now I have to find a new source for my morning Peet's fix.|0
32|32|Peet's major dickason blend is by far my favorite coffee. It is bold yet not too acidic and have a solid long-lasting flavor. I find it not too strong for my first cup in the morning yet gives me enough of a kick to get me going.The coffee always comes fresh, and the beans usually still have an oil on them. I definitely prefer the whole beans and grind them myself to get the most flavor out of them. The one downside is that they go stale after about 2 weeks of after opening the package.|1
33|33|"I've been hand grinding this, super finely, to make Turkish coffee.  It works very well for that.  The only problem is that this uses it up very slowly, and I'm past the ""best by"" date, but it's still good for now.This roast is on the darker side of medium, and is not bad for making regular coffee with a different grind and a French press, although generally I prefer a dark roast for that."|1
34|34|Fresh Covfefe from Peets delivered to my door. It's great to have backstock of an essential like this. It's fresh in its sealed bag, just like from the Peets stores. The product dating is good. One comment though for price shoppers: There's a lot of variation in the coffee markets with bean prices, etc. Watching local grocery stores and stocking up on sales is probably the same or better than ordering online, which locks in a price that may change substantially with the season.|1
35|35|I really like Peet's House Blend and buy it when it is on sale at Amazon or my local grocer. It is rich and smooth and a great eye opener in the morning. It is now on my rotation of coffee's that I drink.|1
36|36|Peet's is best coffee I've had. I'm in my 60s. Get yourself a grinder and a French press and you will never drink Folger's or anything similar again. Comes in whole bean or ground. Worth every penny.|1
37|37|Great-tasting dark roast coffee. I remembered enjoying it years ago, when I had a french press and I thought dark roast was my favorite. Recently, I've been leaning more toward medium roast, but even more recently I acquired a french press and grinder, and it was time to buy beans again. I remembered Peet's and Major Dickason's, and wanted to try it again. I was concerned I wouldn't like it as much now, since I've been veering away from dark roasts, but it was just as I remembered. Great taste.|1
38|38|Can't believe how great this coffee is ... reminds me of Yeti Imperial Stout (IYKWIMAITYD)!!!  I've now put this on S&S, as I think it just might be my favorite.  With this in rotation with Kicking Horse Kick Ass and Ruta Maya Dark, you can't go wrong.  drf|1
39|39|My husband and I have tried a lot of brands of coffee. Peet's is by far our favorite. The dark blends are our go to. We use this 12 oz bag to fill our Keurig pods and it lasts us two weeks with about two 10 ounce cups a day. I'd describe it as a warm, smooth, smoky, nutty, rich flavor that will definitely wake you up. It's the Ghirardelli of coffee, in my personal opinion. Take that for what it's worth, Folger's is like dirty water to me and Dunkin' Donuts is so acidic that it turns my stomach.|1
40|40|We love this coffee and subscribe to receive it every month, so we don't have to worry that I will run out.  It is a nice, rich cup of coffee without being burnt or bitter. We typically make two 10-cup pots each morning just for the two of us. I take it with me when I travel with a single cup cone and filters so I am sure of a good cup wherever I am.|1
41|41|Can't beat Peets.  If you haven't tried Major Dickason's, you're missing out.  It's full bodied and dark, but I think it's the best selling of Peets Coffee.  One of my clients offered me Peets one day. They couldn't believe I hadn't had it. (This was years ago.) Anyway, it's a rich, incredible coffee. Costco in CA carries it, but here in NC they tried it and I guess it didn't sell too well.  It's the best, really.  You pay more for it, but it's worth it.|1
42|42|I love coffee and I subscribe to Mistobox which send me coffee every couple of weeks. But I love Peet's coffee because it's very cheap which means that I can drink tons of coffee and not go broke.Even though this coffee is less than ten bucks, it still tastes super good compared to other less expensive coffees.|1
43|43|I wanted to try darker roasted beans than what I usually get (Kimbo Superior - medium roast, excellent stuff, Italy). I was disappointed at first due to the bitterness but tasted some potential. I eventually dialed down my vintage Olympia Cremina lever espresso machine to pull shots at lower temperature. Results have been quite amazing. I am not good at describing flavors but it is only very slightly bitter if you use a lower temperature (if you machine allows for that) and tastes excellent, especially at the Amazon price. I recommend you try a bag.|1
44|44|This coffee turned out to be one of the better coffees I have tried. As I am new to the “grind then beans” scene, I have been trying different types. Pete’s Major Dickason blend was a pretty good coffee over all. However, with that being said, the price range to quality ratio is off. The price is a little high for a coffee that doesn’t completely blow me away. Like most coffee and other food products it’s all up to personal preference however.|1
45|45|Absolutely best dark roast decaf available! Rich, deep nutty flavor. Excellent for regular, bold, iced coffee and expressso. Brews the best cup of coffee I've ever made with my Ninja Coffee Bar IQ. Also does great with my Keurig 2.0 and Hamilton Beach 49981A Single Serve Scoop Coffee Maker. Tastes even better with sweetened Half & Half froth.I've found my new fav!|1
46|46|Very disappointed.  Ordered Feb 12, received Feb 14, Best Buy date Feb 26 (3 months after roast date).  I can't drink a 12oz bag of ground coffee in 12 days and 3 month old ground coffee is pretty stale anyway.  This was for ground decaf.  I ordered the most popular blend, Major Dickason, in hopes of avoiding this problem.  I also ordered Major Dickason whole beans.  Those were also 3 months after the roast date, but beans last longer than ground so I guess I'll keep them.  The ground will be returned.|0
47|47|My brother turned me on to this coffee last November (2017). I was drinking Kirkland's Brand decaf (roasted by Starbucks) beans that I ground myself and that was pretty good. However, this has to be one of the best grocery bought, pre-ground coffee I've had. It isn't bitter or acidic, is so smooth and full bodied. It really is the best thing I look forward to each morning. I wish I could find it in the stores around me though so I don't have to order it but I have yet to find a store that carries the decaf, and forget about trying to find the beans to grind yourself. So, I'll settle for this for now.|1
48|48|not sure if I got a bad gab.. tasted and smelled horrible.  Others seem to like so maybe i just got a bad bag.|0
49|49|Every one of the 5 bags expires in less than a month from the day I received it.  This is just unacceptable.|0
50|50|WOW. This light roast is FULL of flavor. Aromatic with vanilla and fruity notes. Light. Crisp. Flavorful. If the bag didn't say light roast I would not have believed it. I used the inverted AeroPress method. And for THAT PRICE! This is a steal! Peet's is hands down THE BEST coffee money can buy.|1
51|51|I have been using the Peet's Coffee Colombia for 5 years and I love it but this one taste very different/bad from the colombia I'm used to drink. I bought 4 packs here, the packs arrived sealed and looks in normal condition but something is wrong with the grain, it's taste awful, totally different of Colombia one.I opened three packages, I tried all them but it had taste the same.|0
52|52|Tasty every time I get it and I just mix with a little caffeinated coffee and I'm good to good. Lots of flavor, unlike most decaf coffees|1
53|53|If this isn't one of the best cups of coffee you ever had then I will be shocked. If it was legal for me to do it, I would almost give you your money back. The only coffee I think is better than this one is Trader Joe's Wintry Blend. You will love this and you'll be all jacked up on caffeine and super productive. Get it. Sip it. Hold it in your heart. Hug it because you know you want to. Coffee is God.|1
54|54|Everyone says they are a coffee snob.  Even the ones that love coffee I can't stand.  This stuff is one of the best all-around coffees which is great to drink hot or make a great cold-brew.  I wish it came in bulk options because the price has set me off to explore other options which, are widely available in a competitive coffee market.  When it's on sale, I buy it.|1
55|55|Bought 4 bags and all of them say best if purchased 3 months ago|0
56|56|Peet's Coffee Brazil Minas Naturais, Medium Roast, Ground 12oz -I wish they wouldn't mix different products in the same reviewsAt this price point I'd give it a 6 if I could.I have no problem paying 9 bucks for a 12oz bag of Peets French Roast,etc.But this price? I had to come back and check to see if I hadn't gotten over on a price mistake,but nope.I might have to demote the Major.|1
57|57|My coffee arrived with an expiration date of 12/31/17. It's part of a Christmas gift. I highly doubt they will use it in a week. Very disappointing...|0
58|58|Very god coffee. I used to drink Starbucks French Roast, but got a sort of sour flavor as the cup cooled. I even tried some French roast from a local coffee shop, but noticed the same problem as the coffee started to cool. Peets has a nice rich flavor that stays that way even when the coffee starts to cool. I like it so much I subscribed for regular deliveries.|1
59|59|"It's quite bitter almost like an espresso; and I like that. It's espresso enough to make an iced-coffee with it. Does it taste good? Well... maybe a little deeper taste than Maxwell coffee. It's grinded, so don't expect the same quality from freshly grinded whole beans. Do I recommend it? Well, yeah actually if you like strong bitterness of coffee. Speaking of bitterness, does it taste ""sour""? Actually no, and that's a big plus."|1
60|60|Great decaf coffee.  Still searching for my favorite, but this will be my go to for a while.  I like a bold cup of coffee in the morning and can’t drink much caffeine anymore.  Finding a good decaf - particularly one that is not processed with chemicals - is a challenge.  I’d recommend trying it!|1
61|61|As advertised, an excellent Dark Roast coffee intended for a thank you package to the coffee lover...I bought several brands to say thank you for a deed well done and will post this review in each. This one was to represent the Pacific Northwest's love affair with dark roasted whole bean coffees and how they blend different beans into specific flavor profiles....dj|1
62|62|I make coffee at night and it's ready when I get up, and it the greatest thing to wake up to.  I have to add it tasted good also.  I've tried all kinds of coffee and PEERS dark ground is the best I have found.  I grew up with the store brand and there ok, but  PEETS coffee. Is on the top shelf and I don't know if there is anything better.  In looking but haven't found one compared to PEERS dark roast coffee.|1
63|63|It smells good but found ground and thought I made mistaken. I could not return because 6 weeks after delivered it.I took two proven photos if seller contact me|0
64|64|"I had been looking for a good tasting decaf coffee, due to ""no sleep"" issues and was certain that I would have to settle for ok coffee.  I was impressed by the reviews this one received so I gave it a try.  Let me tell you this is the BEST coffee ever, decaf or not.  I love it.  Thanks ""Peet"" for coming up with this blend.  I'll be a customer forever."|1
65|65|I have this as a subscribe and save item. The best by dates are usually very close to when I receive the coffee, however this month I received it on January 5th and the best by date had already passed-- January 1st. I will go back to buying from the supermarket if this happens again...Update- just received a bag dated 3/21/18. Today is 5/8/18. They are sending old coffee.|0
66|66|Major Dickenson's blend is a robust, dark raost coffee. It has a true sweet note to it, but without any strange flavors that can alter the true coffee flavor.In my Cuisinart extreme brew coffee maker I add 1 heading teaspoon of ground coffee for each cup of coffee I want to make. It turns out prefect every time.|1
67|67|Great coffee beans. Gave this as a gift to my husband for his new espresso machine from santa :-)He says it taste really good and the beans grind perfectly. Will forsure buy again when he needs more.|1
68|68|I love Pete's Big Bang coffee when buying it ground in the store. So I Thought Whole Bean Would Be better Because It Would Be fresher. This coffee has a slight fruity taste, which is really brought out by the fresh bean! I actually don't like it as well. But the product ordered was exactly as described!|1
